Sentence,entities,extracted_keywords
HNB FINANCE introduces Gold Plan for customers looking to buy gold Leading integrated financial services provider HNB FINANCE PLC under the auspices of Managing Director CEO Chaminda Prabhath ,"[[""HNB FINANCE"", ""ORG"", 0, 11], [""Gold Plan"", ""PRODUCT"", 23, 32], [""HNB FINANCE PLC"", ""ORG"", 114, 129], [""Chaminda Prabhath"", ""PERSON"", 174, 191]]","['HNB FINANCE', 'Gold Plan', 'HNB FINANCE PLC', 'HNB']"
HNB FINANCE PLC one of the leading finance companies in Sri Lanka recently donated books and equipment including computer and an inschool library to the students of Wadinagala,"[[""HNB FINANCE PLC"", ""ORG"", 0, 15], [""Sri Lanka"", ""GPE"", 56, 65], [""Wadinagala"", ""GPE"", 165, 175]]","['HNB FINANCE', 'donated books','recently donated', 'donated']"
The Yalu Children Savings Account was initiated to encourage the habit of saving amongst children ,"[[""The Yalu Children Savings Account"", ""PRODUCT"", 0, 33]]","['Children Savings', 'Savings Account', 'Yalu Children', 'Yalu Children Savings Account']"
HNB Finance inks partnership with HNB Assurance,"[[""HNB Finance"", ""ORG"", 0, 11], [""HNB Assurance"", ""ORG"", 34, 47]]","['HNB Finance', 'HNB Assurance', 'HNB', 'inks partnership']"
In meeting one of the Company primary objectives of encouraging the saving habit of its customers including borrowers HNB Finance offers three savings products to its customer base namely Miyulasi Yalu and HNB Finance Savings ,"[[""Company"", ""ORG"", 22, 29], [""HNB Finance"", ""ORG"", 118, 129],[""Miyulasi Yalu"", ""PRODUCT"", 188, 201], [""HNB Finance Savings"", ""PRODUCT"", 206, 225]]","['Finance Savings','Miyulasi Yalu', 'HNB Finance Savings' , 'HNB Finance' ]"
Gold Plan Gold Loan Scheme,"[[""Gold Plan"", ""PRODUCT"", 0,9], [""Gold Loan Scheme"", ""PRODUCT"", 10, 26]]","['Gold Loan', 'Gold Plan','Loan Scheme', 'Loan']"
Key features hours access to your account through HNB Finance ATM card SMS notification on every transaction made Interest calculated on daily balance and credited monthly Standing order facility Convenient cash deposits withdrawals fund transfers through island wide branch network hours access to your account through HNB Finance ATM card ,"[[""HNB Finance"", ""ORG"", 50, 61], [""ATM"", ""SERVICE"", 62, 65], [""HNB Finance"", ""ORG"", 320, 331], [""ATM"", ""SERVICE"", 332, 335]]","['HNB Finance', 'ATM card', 'ATM', 'transaction', 'interest', 'cash deposits', 'withdrawals', 'fund transfers']"
HNB FINANCE offers you the perfect solution that will help in securing steady financial support for your child the Yalu Children Savings scheme,"[[""HNB FINANCE"", ""ORG"", 0, 11], [""the Yalu Children Savings"", ""PRODUCT"", 111, 136]]","['HNB FINANCE', 'Children Savings', 'Yalu Children Savings', 'Savings scheme']"
 At that time we first took under the Diriya Loan Scheme As we continued to transact with the Company with trust we could easily get the loans we needed at the right time We have taken loans up to beginning from loans,"[[""the Diriya Loan Scheme"", ""PRODUCT"", 34, 56]]","['Diriya Loan', 'Loan Scheme', ' loans']"
 As was able to get loan without any guarantors through Swashakthi Savings was able to easily get the money needed,"[[""Swashakthi Savings"", ""PRODUCT"", 56, 74]]","['Swashakthi Savings', 'loan']"
