Comment,Aspect,Date,brand,trigger_keywords,model_score,lexicon_score,final_score
"Mata me january walata 22 labuwa 22 sampoorna nathi nisa apply krn puluwnd , a/l second shy eke result danna puluwnd natn 1 st shy eke result ek witrd dana puluwn",Trust and Security,2025-05-20T11:28:14Z,Commercial Bank,['commercial bank'],0.4124404788017273,0.0,0.2887083351612091
"Sir  ibsl eke course ek krn bank eke salary ekn fee gewn gmn krnn plwn d netnm api course ek krl  d job ekt ynn oni. ( mama okt apply kl, exm ekt liwwa)",Others,2025-05-20T07:36:35Z,Commercial Bank,['commercial bank'],0.04222707822918892,0.0,0.02955895476043224
"මට වයස 24යි මාස 10යි..වයස ප්‍රශ්නෙ නිසා ඇප්ලයි කරන්න බැහැ බෑන්ක් ජොබ්ස් වලට...2019 ඉදන් ඇප්ලයි කරා ඒත් බැරි උනා..ol english B, Maths B, Tamil A...Al cms walin ABC..general english C.. English higher national diploma eka karala inne..ජොබ්ස් වලට ඇප්ලයි කරන්නෙ 2019 ඉදල..තවම 25ක් වෙන්න ලන්වෙලත් ජොබ් එකක් නැ...මන් ඇප්ලයි කරන විදියෙ ප්‍රශ්නයක් ද වරදක් ද කියලත් හිතෙනව",Digital Banking Experience,2025-05-19T05:45:05Z,Commercial Bank,['commercial bank'],0.7515326738357544,0.0,0.526072871685028
Sir banking wlt awhsya smnya it apit free igen gnn widihk ndd 🥲🫠,Digital Banking Experience,2025-05-18T04:14:28Z,Commercial Bank,['commercial bank'],0.49273666739463806,0.0,0.3449156671762466
Mta  wayasa 24yi A/l bio kle css English it uk diploma dekk krl thiyenwa software engineering HND danata follow kranwa mt bank walt apply krnn puluwan d mt apply krnn puluwan job tikk kiynnko loku udwwak,Digital Banking Experience,2025-05-17T05:01:22Z,Commercial Bank,['commercial bank'],0.5378736257553101,0.0,0.376511538028717
මට O/l English C pass එකක් තියෙන්නෙ Apply කරන්න බැරි වෙයිද ?,Digital Banking Experience,2025-05-16T08:19:17Z,Commercial Bank,['commercial bank'],0.6999780535697937,0.0,0.48998463749885557
Mt me january wlt 22 complete unaa 22 maasa ganak gihin nisa mekt apply krtta wdk nti weid,Loans and Credit Services,2025-05-16T06:20:16Z,Commercial Bank,['commercial bank'],0.42365503311157227,0.0,0.29655852317810055
අවුරුදු 22 ට වඩා අඩු වෙන්න ඕනද සර්,Others,2025-05-16T02:07:23Z,Commercial Bank,['commercial bank'],0.5853318572044373,0.0,0.40973230004310607
"සර්  මට AL  -ABB 
කොමස් කලේ .

Ol  english වලට s එකක්  තියෙන්නේ .
icbt cmpus  එකෙන් english & it ඩිප්ලෝමා එකක්  කරල තියෙන්නේ .

ඒ ඩිප්ලෝමා එක  කරල තියෙන නිසා ol  engilsh -s එක  අවුලක් නැති  වෙයිද?",Digital Banking Experience,2025-05-15T21:19:57Z,Commercial Bank,['commercial bank'],0.8386457562446594,0.0,0.5870520293712616
මන් මේ වගෙ ජොබ් වලට ඇප්ලයි කල ඔන්ලයින් එත් කිසිම respond එකක් නැ. සුදුසුකම් ප්‍රශ්නෙකුත් නෙමෙයි. මට දැනගන්න පුලුවන් ද ඇයි ඉන්ටවීව්වත් කෝල් කරන්නෙ නැත්තෙ කියල කොච්චර කල් යනවද ඔන්ලයින් ඇප්ලිකෙශන් දාල උත්තරයක් එන්න,Customer Support,2025-05-15T15:38:53Z,Commercial Bank,['commercial bank'],0.3316957950592041,1.0,0.5321870565414428
"මට A/l s 1 yi thiyenne, O/L හොඳටම pass mata hoda salary ekak ගෙවන  job tikak kiyanavada  hoyala බලන්න",Others,2025-05-15T14:34:55Z,Commercial Bank,['commercial bank'],0.10879720002412796,0.0,0.07615804001688957
"Boc da , commercial yn eka hoda ??",Others,2025-05-15T13:40:48Z,Commercial Bank,['commercial bank'],0.4056861996650696,0.0,0.2839803397655487
Lanka orix finance payment karanna puluwan da,Transactions and Payments,2025-04-27T12:21:01Z,Commercial Bank,['commercial bank'],0.11207184940576553,1.0,0.37845029458403584
මම දැන් බැංකුවට ගිහින් මේ ගැන අහලා ආවා විතරයි. ඊට පස්සේ මේ වීඩියෝ එක දැක්කේ... ඇත්තටම වටින වීඩියෝ එකක්... ගොඩාක් ස්තූතියි දැනුවත් කිරීම සම්බන්දව.,Others,2025-05-16T06:03:03Z,Commercial Bank,['commercial bank'],0.3870021104812622,0.0,0.2709014773368835
ඔයිට වැඩිය මාර ලාබයි celinco එකේ investment plan එකක් දානවා.. පොලිය හම්බෙන්නෙත් වැල් පොලියට tax කැපෙන්නෙත් නෑ කීයක්වත්,Transactions and Payments,2025-05-20T13:52:55Z,Commercial Bank,['commercial bank'],0.5276231169700623,0.0,0.36933618187904355
"2023 රට එන්න කලින් මිලියන් දැම්මා මහජන එකේ, 21% දුන්නා අව්රුදු 2ට.",Loans and Credit Services,2025-05-18T22:02:54Z,Commercial Bank,['commercial bank'],0.4560003876686096,0.0,0.3192002713680267
"සල්ලි තියන අයට හොදයි ,අපි මාසේ ජිවත් වෙන්නෙත් දෙවෙල කාලා",Transactions and Payments,2025-05-18T17:29:55Z,Commercial Bank,['commercial bank'],0.473844051361084,0.0,0.3316908359527588
"කරුනාකර මාතෘකාව හරියට දාන්න, ""රුපියල් 18,000 තියනවනම් මිලියනයක් හොයන්න පුලුවන්"", ඇයි ලිව්වේ නැත්තේ ""මාස් පතා ආයොජනය කලයුතුයි"" කියලා?",Transactions and Payments,2025-05-18T12:18:45Z,Commercial Bank,['commercial bank'],0.6003528833389282,0.0,0.42024701833724976
"Useless වැඩ.
සල්ලි තියෙනවා නම් වෙන හොඳ ආයෝජනයකට යොමු කරන්න. එක මාසයක් හරි ගෙවන්න බැරි වුනොත් වෙන දේත් කියන්න ",Others,2025-05-18T12:10:43Z,Commercial Bank,['commercial bank'],0.07942748814821243,0.0,0.0555992417037487
අනික මේ බැංකුව පැත්තවත් යන්න එපා.  කපටි හොරු. රජයේ බැංකුවකට යන්න.,Trust and Security,2025-05-18T02:10:51Z,Commercial Bank,['commercial bank'],0.6106825470924377,0.0,0.4274777829647064
"එක එකාගාව සීට්ටු දාන අයට,තමන්ගේ අතේ මුදලක් ඉතිරි කර ගන්න බැරි අයට,අවමඟුලට සම්බන්ධ සමිතියකට බැඳෙන්න බැරි අය,දඹදිව වන්දනාවෙ වගේ ගමනක් යන්න ඉන්න එකපාර මුදලක් වියදම් කරන්න ලෝබ හෝ බැරි අයට මේ ක්‍රමය ගොඩාක් හොඳයි.එහෙම මං දන්න අය ගොඩාක් ප්‍රයෝජන ලබනවා.හොඳ විඩියෝ එකක්,",Trust and Security,2025-05-17T06:01:14Z,Commercial Bank,['commercial bank'],0.48185279965400696,0.0,0.3372969597578048
මේවට අහුවෙන්න එපා පව් මීට වඩා හොද ආයෝජන ක්‍රම තියනව,Others,2025-05-17T01:39:25Z,Commercial Bank,['commercial bank'],0.21978875994682312,0.0,0.15385213196277617
දැන් මිනිස්සු දීර්ඝකාලීන තැන්පතු දාන්නෙ නෑ.අලුත් බදු 10%ක් මුලු පොලියටම ගහපුවම ඔය කියන ගාන එන්නෙ නෑ.දීර්ඝකාලීන තැන්පතු ලොකු මුදලක් දැම්මොත් බදුසීමාව වන ලක්ශ 18 පැන්නොත් ලොකු මුදලක් ටැක්ස් එකට කැපෙනවා.මිනිස්සු එන්න එන්නම බැංකු වලින් ඈත් වෙනවා.,Others,2025-05-16T17:57:12Z,Commercial Bank,['commercial bank'],0.053719617426395416,0.0,0.03760373219847679
විදෙස් රටක රැකියාවක් කරන කෙනෙක් මෙය ආරම්භ කරන්නේ කොහොමද,Others,2025-05-16T10:31:33Z,Commercial Bank,['commercial bank'],0.3909972012042999,0.0,0.2736980408430099
"මීට වඩා ලාභයිනෙ බං 
භාණ්ඩාගාර බිල්පත් දාන එක. 

භාණ්ඩාගාර බිල්පත් ඉතාම පහසුවෙන් මහජන බැංකුවෙන් දාන්න පුළුවං.(පුළුවං තරම් main ciry වල බැංකු ශාකා නැතිව වෙන ඒවගෙන් බලන්න, අත්දැකීමෙන් කිව්වෙ)

(ඔය මොනතරම් gains ආවත් 10% with holding tax papers වලට sign කරන්න ඕනි ඔයාගෙ ආදායම 150,000 ට අඩුනම් මාසික වශයෙන්)

ඒ වගේම විශේෂම දේ තමා.. භාණ්ඩාගාර බිල්පත් වල ආයෝජනයෙදී ඔයාල කිසිම Tax එකකට යටත් වෙන්නෙ නෑ වගේම, ඔයාලට ඕනි වෙලාවක දමන ඇයෝජන මුදල් කර ගන්න පුළුවං. 

ඒ වගේම පවරන්නත් පුළුවං.

ඒ වගේම අවම මුදල රු. 10000/- සිට ආයෝජනය කරන්නත් පුළුවං.

එකම දේ පොඩ්ඩක් documents fill කරන්න ඕනි.

එයාල දෙනව එයාලගෙ head office treasury hotline number එක.. එයාළ එක්ක උදව් ගන්නත් පුළුවං..

මම නම් රු. 10000 ඉදං දාන්නෙ treasury Bills විතරයි..

fds දානවට වඩා ලාභ වගේම..

පුරුදු උනාම ආයෙ fds ඕනිම නෑ..

පොඩි ගානක් දාල try කරල බලන්නකො... ආස හිතෙයි ",Transactions and Payments,2025-05-16T07:42:28Z,Commercial Bank,['commercial bank'],0.26626887917518616,1.0,0.4863882154226303
ලස්සයකට මාසට පොලී කීයක් ගන්න පුලුවන්ද සර්,Transactions and Payments,2025-05-13T06:04:59Z,Commercial Bank,['commercial bank'],0.7430597543716431,0.0,0.5201418280601501
සම්පත් බැංකුවේ ලක්ෂ 1000000 ට පොලීය කීයද?.,Transactions and Payments,2025-03-08T14:10:52Z,Commercial Bank,['commercial bank'],0.6327943205833435,0.0,0.4429560244083404
"ලක්ෂ 5,mahset,පොලිය කියන්න f.d",Transactions and Payments,2025-03-04T00:04:39Z,Commercial Bank,['commercial bank'],0.7061845660209656,0.0,0.49432919621467586
බැංකු දෙකේම මේ ගනන් වලට මාසෙකට කියක් ලැබෙයිද,Transactions and Payments,2025-03-01T16:48:27Z,Commercial Bank,['commercial bank'],0.5293057560920715,0.0,0.37051402926445004
100000/= මාසිකව  පොලිය කීයක් වෙයිද,Transactions and Payments,2025-03-01T14:55:21Z,Commercial Bank,['commercial bank'],0.7460150122642517,0.0,0.5222105085849762
ලක්ෂ යක්  දැම්මෙත් මාසිකව  පොලිය කියද,Transactions and Payments,2025-03-01T12:56:44Z,Commercial Bank,['commercial bank'],0.7558727860450745,0.0,0.5291109502315521
ලක්ෂයක් දැම්මොත් මාසෙට කීයද,Transactions and Payments,2025-03-01T09:57:07Z,Commercial Bank,['commercial bank'],0.7375743389129639,0.0,0.5163020372390746
ලක්ෂ 50 ට මාසෙට පොලිය කියද,Transactions and Payments,2025-03-01T05:26:04Z,Commercial Bank,['commercial bank'],0.7430641651153564,0.0,0.5201449155807495
ලක්ෂ 10 ට මාසිකව පොලිය කියක්ඩ්ඩ,Transactions and Payments,2025-02-28T11:13:25Z,Commercial Bank,['commercial bank'],0.7398205399513245,0.0,0.5178743779659271
ලක්ෂ 40ක 50ක මුදලක් තැන්පත් කරන්න  හොදම විදිහි සදහන් කරන්න මම විදෙස් ගත ඉන්නේ,Transactions and Payments,2025-02-28T08:56:50Z,Commercial Bank,['commercial bank'],0.6083796620368958,0.0,0.425865763425827
ලක්ශ පහකට මාසිකව කීයක් ලැබෙයිද,Transactions and Payments,2025-02-28T02:20:44Z,Commercial Bank,['commercial bank'],0.770428478717804,0.0,0.5392999351024628
කැල්කුලේට් කරන හැටි කියා දෙන්නකො,Others,2025-02-27T17:36:50Z,Commercial Bank,['commercial bank'],0.6512253284454346,0.0,0.4558577299118042
